Category level Intensity Analysis for interval:  1992 - 1997 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"Forest","1001.6","50.8","0.00276340801929088","0.000142019642322972","0.00238780365163673","Active","Dormant"
"Mosaic Vegetation","77.2","368.8","0.00130418623509139","0.00608059091208864","0.00238780365163673","Dormant","Active"
"Shrubland","1.4","480.8","8.06172981688357e-05","0.0243282902393361","0.00238780365163673","Dormant","Active"
"Other Vegetation","49.8","0.6","0.00499198075380914","6.16649537512847e-05","0.00238780365163673","Active","Dormant"
"Cropland","0.2","216.8","8.55724798904672e-06","0.0088652627274586","0.00238780365163673","Dormant","Active"
"Non-Vegetation","0","12.4","0","0.0120975609756098","0.00238780365163673","Dormant","Active"

Category level Intensity Analysis for interval:  1997 - 2004 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"Forest","9489.14285714286","31.2857142857143","0.0265284384748624","0.000107329581208796","0.0203727211979522","Active","Dormant"
"Mosaic Vegetation","4","2289.57142857143","0.000163565732978941","0.0565969107769671","0.0203727211979522","Dormant","Active"
"Shrubland","144","6693.57142857143","0.00237420035613005","0.0628510260995073","0.0203727211979522","Dormant","Active"
"Other Vegetation","2.85714285714286","614","0.000144570300923081","0.0255397030073624","0.0203727211979522","Dormant","Active"
"Cropland","2.85714285714286","3.28571428571429","0.000293642636910879","0.000337584946646901","0.0203727211979522","Dormant","Dormant"
"Non-Vegetation","0","11.1428571428571","0","0.010102318352545","0.0203727211979522","Dormant","Dormant"

Category level Intensity Analysis for interval:  2004 - 2015 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"Forest","695.818181818182","101.454545454545","0.00238709186467616","0.000356038327079267","0.00188820142044374","Active","Dormant"
"Mosaic Vegetation","24.8181818181818","288.181818181818","0.000613491417861814","0.00664763945887795","0.00188820142044374","Dormant","Active"
"Shrubland","150","390.909090909091","0.00140846392923877","0.00358142622386912","0.00188820142044374","Dormant","Active"
"Other Vegetation","1.36363636363636","2.27272727272727","0.00123629770048628","0.00204198317405865","0.00188820142044374","Dormant","Active"
"Cropland","14.9090909090909","103.272727272727","0.000620152693693728","0.0041287621345991","0.00188820142044374","Dormant","Active"
"Non-Vegetation","6.81818181818182","7.63636363636364","0.000700522122488628","0.000783859950355536","0.00188820142044374","Dormant","Dormant"

